respondent_id,persona
24,"I am 48 years old. I am male. I am White. I am married. I completed high school (12th grade). My family income is $110,000 to $129,999. I am a strong Republican. I am conservative. I attend religious services several times a year."
31,I am 55 years old. I am female. I am White. I am married. I had 1 year of college education. I am a not very strong Republican. I am slightly conservative. I attend religious services about once or twice a year.
44,"I am 41 years old. I am female. I am White. I am married. I had 6 years of college education (master's degree). My family income is $170,000 or more. I am an independent, close to Democrat. I am slightly liberal. I never attend religious services."
61,"I am 57 years old. I am female. I am White. I have never been married. I had 6 years of college education (master's degree). My family income is $170,000 or more. I am a strong Democrat. I am liberal. I never attend religious services."
72,"I am 37 years old. I am male. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $40,000 to $49,999. I am a not very strong Democrat. I am slightly conservative. I never attend religious services."
75,"I am 54 years old. I am male. I am Black or African American. I have never been married. I completed high school (12th grade). My family income is $50,000 to $59,999. I am a not very strong Republican. I am moderate (middle of the road). I attend religious services more than once a week."
86,"I am 62 years old. I am female. I am of another race. I am married. I had 2 years of college education. My family income is $60,000 to $74,999. I am a strong Democrat. I am moderate (middle of the road). I attend religious services about once or twice a year."
92,"I am 41 years old. I am female. I am divorced. I had 1 year of college education. My family income is $25,000 to $29,999. I am an independent (neither Democrat nor Republican). I am conservative. I attend religious services every week."
143,"I am 41 years old. I am male. I am White. I am married. I had 6 years of college education (master's degree). My family income is $170,000 or more. I am a not very strong Democrat. I am moderate (middle of the road). I attend religious services less than once a year."
147,"I am 72 years old. I am male. I am White. I am divorced. I completed 4 years of college (bachelor's degree). My family income is $90,000 to $109,999. I am an independent, close to Republican. I am slightly conservative. I attend religious services less than once a year."
209,"I am 58 years old. I am female. I am of another race. I have never been married. I had 5 years of college education. My family income is $30,000 to $34,999. I am a strong Democrat. I am slightly liberal. I attend religious services about once a month."
260,"I am 68 years old. I am female. I am White. I am widowed. I completed high school (12th grade). My family income is $50,000 to $59,999. I am a not very strong Democrat. I never attend religious services."
269,"I am 64 years old. I am male. I am White. I am married. I had 5 years of college education. My family income is $30,000 to $34,999. I am an independent (neither Democrat nor Republican). I am slightly liberal. I attend religious services less than once a year."
270,I am 42 years old. I am male. I am White. I have never been married. I had 2 years of college education. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services.
285,"I am 62 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am slightly conservative. I attend religious services several times a year."
341,"I am 67 years old. I am female. I am White. I am widowed. I completed high school (12th grade). My family income is $40,000 to $49,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services about once or twice a year."
342,"I am 55 years old. I am male. I am White. I have never been married. I completed high school (12th grade). My family income is $110,000 to $129,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
369,"I am 42 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999. I am a strong Democrat. I am liberal. I attend religious services less than once a year."
386,"I am 66 years old. I am male. I am Black or African American. I am married. I had 1 year of college education. My family income is $75,000 to $89,999. I am a strong Democrat. I am moderate (middle of the road). I never attend religious services."
395,"I am 78 years old. I am male. I am Black or African American. I am divorced. I had 2 years of college education. My family income is $90,000 to $109,999. I am an independent, close to Democrat. I am liberal. I never attend religious services."
401,"I am 26 years old. I am male. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $150,000 to $169,999. I am a strong Democrat. I am extremely liberal. I attend religious services several times a year."
436,"I am 67 years old. I am male. I am White. I am married. I had 5 years of college education. My family income is $170,000 or more. I am an independent, close to Republican. I am slightly conservative. I attend religious services about once or twice a year."
455,"I am 22 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $8,000 to $9,999. I am an independent, close to Democrat. I am liberal. I never attend religious services."
474,"I am 20 years old. I am female. I am White. I have never been married. I completed high school (12th grade). My family income is $30,000 to $34,999. I am a strong Republican. I am conservative. I attend religious services every week."
491,"I am 55 years old. I am female. I am White. I am divorced. I had 6 years of college education (master's degree). My family income is $90,000 to $109,999. I am a strong Democrat. I am liberal. I attend religious services about once or twice a year."
505,"I am 66 years old. I am female. I am White. I have never been married. I had 1 year of college education. My family income is $25,000 to $29,999. I am a strong Democrat. I am moderate (middle of the road). I never attend religious services."
517,"I am 71 years old. I am male. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $10,000 to $12,499. I am a strong Democrat. I am liberal. I attend religious services less than once a year."
519,"I am 41 years old. I am female. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999. I am a not very strong Democrat. I am moderate (middle of the road). I attend religious services every week."
535,"I am 37 years old. I am female. I am Black or African American. I have never been married. I completed high school (12th grade). My family income is $30,000 to $34,999. I am a strong Democrat. I am slightly liberal. I attend religious services about once a month."
537,I am female. I am of another race. I am married. I completed high school (12th grade). I am an independent (neither Democrat nor Republican). I attend religious services less than once a year.
538,"I am 30 years old. I am female. I am of another race. I am married. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999. I am a strong Democrat. I am liberal. I attend religious services several times a year."
546,"I am 36 years old. I am female. I am of another race. I am married. I completed 4 years of college (bachelor's degree). My family income is $130,000 to $149,999. I am an independent (neither Democrat nor Republican). I am slightly conservative. I attend religious services about once or twice a year."
553,"I am 59 years old. I am female. I am of another race. I am divorced. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999. I am a strong Republican. I am conservative. I attend religious services several times a year."
558,"I am 64 years old. I am male. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is less than $1,000. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I never attend religious services."
