respondent_id,demo_age,demo_sex,demo_race,demo_educ,demo_income,demo_partyid,demo_polviews,demo_relig,demo_attend,moral_traditionalism_alpha,moral_traditionalism_beta,moral_traditionalism_mean,moral_traditionalism_concentration,economic_redistribution_alpha,economic_redistribution_beta,economic_redistribution_mean,economic_redistribution_concentration,racial_attitudes_alpha,racial_attitudes_beta,racial_attitudes_mean,racial_attitudes_concentration,institutional_trust_alpha,institutional_trust_beta,institutional_trust_mean,institutional_trust_concentration,outgroup_affect_alpha,outgroup_affect_beta,outgroup_affect_mean,outgroup_affect_concentration
2532,37.0,female,1.0,14.0,18.0,2.0,5.0,11.0,0.0,3.4954,3.5046,0.4993,7.0,2.8441,3.3226,0.4612,6.1667,2.5449,3.2884,0.4363,5.8333,2.3693,2.1307,0.5265,4.5,3.867,3.5996,0.5179,7.4667
1395,59.0,female,1.0,14.0,21.0,0.0,1.0,4.0,0.0,0.8647,10.1353,0.0786,11.0,7.125,2.375,0.75,9.5,5.8616,2.6384,0.6896,8.5,1.6398,1.8602,0.4685,3.5,7.021,1.779,0.7978,8.8
2812,46.0,male,1.0,13.0,24.0,6.0,6.0,1.0,8.0,9.4151,1.5849,0.8559,11.0,1.2363,8.2637,0.1301,9.5,2.1579,6.3421,0.2539,8.5,1.8436,1.6564,0.5268,3.5,2.8651,5.7349,0.3331,8.6
2259,53.0,male,1.0,16.0,26.0,6.0,7.0,4.0,2.0,7.7692,3.2308,0.7063,11.0,0.589,8.911,0.062,9.5,1.8224,6.6776,0.2144,8.5,1.7797,1.7203,0.5085,3.5,3.1442,6.0558,0.3418,9.2
257,19.0,male,3.0,13.0,26.0,3.0,4.0,4.0,2.0,2.5881,3.9119,0.3982,6.5,1.692,2.808,0.376,4.5,2.4264,2.0736,0.5392,4.5,3.0113,1.9887,0.6023,5.0,3.6622,2.9378,0.5549,6.6
3214,34.0,female,2.0,14.0,12.0,0.0,2.0,4.0,,1.6275,9.3725,0.148,11.0,7.5075,1.9925,0.7903,9.5,11.2176,2.2824,0.8309,13.5,1.5597,1.9403,0.4456,3.5,6.5153,2.2847,0.7404,8.8
2485,68.0,female,2.0,11.0,,0.0,7.0,1.0,6.0,7.0498,3.9502,0.6409,11.0,4.7757,4.7243,0.5027,9.5,7.9704,5.5296,0.5904,13.5,1.5855,1.9145,0.453,3.5,3.7443,4.4557,0.4566,8.2
2575,36.0,male,1.0,12.0,19.0,4.0,6.0,1.0,7.0,7.7412,2.5088,0.7552,10.25,2.2466,5.5867,0.2868,7.8333,2.28,4.8867,0.3181,7.1667,2.5504,1.9496,0.5667,4.5,2.9762,4.7571,0.3849,7.7333
359,71.0,male,1.0,16.0,19.0,4.0,6.0,1.0,4.0,6.4645,2.5355,0.7183,9.0,2.3093,5.5241,0.2948,7.8333,2.3488,4.8179,0.3277,7.1667,2.5335,1.9665,0.563,4.5,3.5899,4.9434,0.4207,8.5333
1437,28.0,female,1.0,13.0,19.0,5.0,4.0,1.0,7.0,6.9468,3.3032,0.6777,10.25,2.68,5.1533,0.3421,7.8333,2.7272,4.4395,0.3805,7.1667,2.142,1.858,0.5355,4.0,3.6003,4.3331,0.4538,7.9333
1154,31.0,male,3.0,15.0,17.0,3.0,4.0,5.0,1.0,2.6226,3.1274,0.4561,5.75,2.1312,2.3688,0.4736,4.5,2.448,2.052,0.544,4.5,2.8375,2.1625,0.5675,5.0,3.808,3.192,0.544,7.0
3043,28.0,male,3.0,14.0,18.0,1.0,2.0,1.0,3.0,3.0065,5.9935,0.3341,9.0,5.2838,2.5495,0.6745,7.8333,5.0281,2.1385,0.7016,7.1667,2.041,1.959,0.5103,4.0,5.5977,2.5356,0.6882,8.1333
2093,70.0,male,1.0,16.0,19.0,6.0,6.0,3.0,6.0,8.3704,2.6296,0.7609,11.0,1.7873,7.7127,0.1881,9.5,2.2191,6.2809,0.2611,8.5,1.7693,1.7307,0.5055,3.5,3.4686,5.7314,0.377,9.2
2711,25.0,male,1.0,16.0,19.0,3.0,6.0,1.0,5.0,6.1129,2.8871,0.6792,9.0,2.727,5.1063,0.3481,7.8333,2.5876,4.579,0.3611,7.1667,3.0212,1.9788,0.6042,5.0,3.8744,4.659,0.454,8.5333
1410,21.0,male,2.0,12.0,15.0,3.0,3.0,4.0,0.0,2.1751,4.8249,0.3107,7.0,3.3407,2.826,0.5417,6.1667,7.3609,3.4724,0.6795,10.8333,2.71,2.29,0.542,5.0,4.0943,2.9723,0.5794,7.0667
685,30.0,male,1.0,16.0,20.0,3.0,4.0,4.0,2.0,2.6006,3.8994,0.4001,6.5,1.9998,2.5002,0.4444,4.5,2.0448,2.4552,0.4544,4.5,2.9475,2.0525,0.5895,5.0,4.1368,3.0632,0.5746,7.2
1788,46.0,female,2.0,14.0,24.0,1.0,4.0,1.0,5.0,4.3701,4.6299,0.4856,9.0,3.9595,3.8738,0.5055,7.8333,8.5686,3.5981,0.7043,12.1667,2.187,1.813,0.5468,4.0,4.8971,3.2362,0.6021,8.1333
195,32.0,male,1.0,16.0,21.0,1.0,1.0,4.0,0.0,1.2353,9.7647,0.1123,11.0,6.6563,2.8437,0.7007,9.5,5.6191,2.8809,0.6611,8.5,2.044,1.956,0.511,4.0,7.1983,2.0017,0.7824,9.2
2725,57.0,female,3.0,18.0,9.0,2.0,2.0,4.0,0.0,1.965,7.035,0.2183,9.0,5.6619,2.1714,0.7228,7.8333,4.858,2.3086,0.6779,7.1667,2.2748,2.2252,0.5055,4.5,6.3065,2.6269,0.7059,8.9333
2048,34.0,male,3.0,12.0,13.0,3.0,3.0,1.0,6.0,4.9688,4.5312,0.523,9.5,3.469,2.6977,0.5625,6.1667,3.4036,2.4298,0.5835,5.8333,2.8575,2.1425,0.5715,5.0,3.8936,3.173,0.551,7.0667
2475,60.0,female,,13.0,,,,1.0,7.0,7.7651,2.4849,0.7576,10.25,2.52,1.98,0.56,4.5,2.52,1.98,0.56,4.5,1.9328,1.5672,0.5522,3.5,3.5967,3.0033,0.545,6.6
1099,49.0,male,1.0,20.0,17.0,3.0,3.0,1.0,6.0,4.9807,4.5193,0.5243,9.5,3.3111,2.8556,0.5369,6.1667,2.9789,2.8544,0.5107,5.8333,3.0875,1.9125,0.6175,5.0,5.438,3.2286,0.6275,8.6667
3194,64.0,female,2.0,16.0,14.0,1.0,5.0,1.0,7.0,5.9251,4.3249,0.5781,10.25,4.3877,3.4456,0.5601,7.8333,8.0592,4.1075,0.6624,12.1667,2.107,1.893,0.5268,4.0,4.7903,3.7431,0.5614,8.5333
2929,27.0,female,1.0,12.0,19.0,3.0,2.0,4.0,0.0,2.2861,6.7139,0.254,9.0,4.3355,3.4978,0.5535,7.8333,3.8566,3.31,0.5381,7.1667,2.79,2.21,0.558,5.0,4.8786,2.8547,0.6309,7.7333
2551,30.0,female,3.0,12.0,13.0,3.0,4.0,4.0,0.0,1.8574,3.1426,0.3715,5.0,2.2914,2.2086,0.5092,4.5,2.4156,2.0844,0.5368,4.5,2.67,2.33,0.534,5.0,3.394,3.006,0.5303,6.4
574,38.0,female,,13.0,25.0,5.0,4.0,4.0,0.0,4.1097,4.8903,0.4566,9.0,2.1912,5.6421,0.2797,7.8333,2.873,4.2936,0.4009,7.1667,2.063,1.937,0.5157,4.0,3.8636,4.0697,0.487,7.9333
1491,34.0,male,1.0,18.0,21.0,4.0,4.0,4.0,3.0,3.3142,3.9358,0.4571,7.25,2.3721,3.7946,0.3847,6.1667,2.4842,3.3491,0.4259,5.8333,2.5751,1.9249,0.5722,4.5,4.6322,3.6345,0.5603,8.2667
119,27.0,male,,12.0,16.0,3.0,,1.0,3.0,4.0096,3.2404,0.553,7.25,2.1044,2.3956,0.4676,4.5,2.3175,2.1825,0.515,4.5,2.8237,2.1763,0.5647,5.0,3.2704,3.1296,0.511,6.4
459,45.0,male,1.0,17.0,20.0,0.0,2.0,10.0,3.0,3.2067,7.7933,0.2915,11.0,6.7741,2.7259,0.7131,9.5,5.5261,2.9739,0.6501,8.5,1.7308,1.7693,0.4945,3.5,7.0862,2.3138,0.7539,9.4
2209,35.0,female,,18.0,,3.0,,8.0,5.0,4.4442,4.3058,0.5079,8.75,2.4214,2.0786,0.5381,4.5,2.52,1.98,0.56,4.5,3.0983,1.9017,0.6197,5.0,4.7767,2.8233,0.6285,7.6
2430,35.0,female,,14.0,10.0,3.0,,2.0,3.0,3.8541,3.3959,0.5316,7.25,2.5438,1.9562,0.5653,4.5,2.385,2.115,0.53,4.5,2.7412,2.2588,0.5482,5.0,3.6233,3.1767,0.5328,6.8
3175,55.0,male,3.0,10.0,11.0,,4.0,12.0,3.0,3.6765,3.5735,0.5071,7.25,2.4221,2.0779,0.5382,4.5,2.43,2.07,0.54,4.5,1.6362,1.8638,0.4675,3.5,2.9775,3.0225,0.4963,6.0
1008,51.0,female,1.0,16.0,26.0,5.0,5.0,2.0,7.0,7.4396,2.8104,0.7258,10.25,1.739,6.0943,0.222,7.8333,2.4443,4.7224,0.3411,7.1667,2.299,1.701,0.5747,4.0,3.818,4.7153,0.4474,8.5333
1153,63.0,female,1.0,15.0,16.0,2.0,4.0,1.0,4.0,4.1318,3.8682,0.5165,8.0,3.3136,2.8531,0.5373,6.1667,2.8311,3.0022,0.4853,5.8333,2.4626,2.0374,0.5472,4.5,4.3557,3.311,0.5681,7.6667
1500,34.0,male,1.0,20.0,23.0,4.0,6.0,2.0,7.0,7.5491,2.7009,0.7365,10.25,2.0461,5.7873,0.2612,7.8333,2.4176,4.7491,0.3373,7.1667,2.7574,1.7426,0.6128,4.5,4.3524,4.9809,0.4663,9.3333
565,59.0,female,3.0,16.0,20.0,0.0,1.0,1.0,7.0,3.3188,7.6812,0.3017,11.0,7.2618,2.2382,0.7644,9.5,6.6844,1.8156,0.7864,8.5,1.8051,1.6949,0.5158,3.5,7.2548,1.9452,0.7886,9.2
367,55.0,female,1.0,15.0,22.0,5.0,4.0,10.0,2.0,5.4442,3.5558,0.6049,9.0,2.467,5.3664,0.3149,7.8333,2.7616,4.4051,0.3853,7.1667,2.095,1.905,0.5237,4.0,3.9861,4.3472,0.4783,8.3333
1527,69.0,female,1.0,17.0,23.0,5.0,5.0,2.0,6.0,6.7956,2.7044,0.7153,9.5,1.9991,5.8343,0.2552,7.8333,2.4615,4.7052,0.3435,7.1667,2.241,1.759,0.5603,4.0,3.9543,4.779,0.4528,8.7333
684,32.0,male,3.0,10.0,13.0,3.0,2.0,4.0,0.0,2.3046,6.6954,0.2561,9.0,4.793,3.0404,0.6119,7.8333,4.4816,2.6851,0.6253,7.1667,2.6325,2.3675,0.5265,5.0,4.442,2.8913,0.6057,7.3333
2166,63.0,male,1.0,20.0,,4.0,4.0,10.0,8.0,7.1902,3.8098,0.6537,11.0,2.8056,3.3611,0.455,6.1667,2.5122,3.3211,0.4307,5.8333,2.736,1.764,0.608,4.5,4.827,3.8397,0.557,8.6667
1388,55.0,male,3.0,2.0,13.0,6.0,6.0,2.0,7.0,9.1498,1.8502,0.8318,11.0,2.1141,7.3859,0.2225,9.5,2.7155,5.7845,0.3195,8.5,1.5234,1.9766,0.4353,3.5,1.4489,4.9511,0.2264,6.4
2740,55.0,male,1.0,12.0,20.0,6.0,7.0,1.0,8.0,10.0873,0.9127,0.917,11.0,1.1058,8.3942,0.1164,9.5,1.7408,6.7592,0.2048,8.5,1.7745,1.7255,0.507,3.5,2.2908,6.1092,0.2727,8.4
2270,44.0,male,1.0,12.0,20.0,6.0,4.0,4.0,0.0,5.5029,5.4971,0.5003,11.0,2.6258,6.8742,0.2764,9.5,2.9308,5.5692,0.3448,8.5,1.5995,1.9005,0.457,3.5,3.6852,4.7148,0.4387,8.4
960,41.0,male,1.0,20.0,26.0,0.0,2.0,4.0,1.0,1.5949,9.4051,0.145,11.0,6.2383,3.2617,0.6567,9.5,5.5873,2.9127,0.6573,8.5,1.8104,1.6896,0.5172,3.5,8.1093,1.8907,0.8109,10.0
2739,35.0,female,1.0,14.0,20.0,4.0,4.0,1.0,7.0,6.5354,3.7146,0.6376,10.25,2.3869,3.7798,0.3871,6.1667,2.4282,3.4051,0.4163,5.8333,2.6021,1.8979,0.5782,4.5,3.7132,3.7534,0.4973,7.4667
