cleartimestamp,model,chain_model,prompt_mode,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-27T16:52:20.231723+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,cappun,Do you favor or oppose the death penalty for perso...,1,2,730,1,731,,2
2026-04-27T16:52:20.236654+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,abpoor,Please tell me whether or not you think it should ...,1,2,750,1,751,,2
2026-04-27T16:52:20.254809+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,abdefect,Please tell me whether or not you think it should ...,1,2,748,1,749,,2
2026-04-27T16:52:20.439365+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,abrape,Please tell me whether or not you think it should ...,1,1,743,2,745,,1
2026-04-27T16:52:20.440769+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,homosex,What is your opinion about sexual relations betwee...,1,4,767,1,768,,4
2026-04-27T16:52:20.454299+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,abhlth,Please tell me whether or not you think it should ...,1,1,746,2,748,,1
2026-04-27T16:52:20.620965+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,xmarsex,What is your opinion about a married person having...,1,2,768,1,769,,2
2026-04-27T16:52:20.622393+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,pornlaw,Which of these statements comes closest to your fe...,1,2,823,1,824,,2
2026-04-27T16:52:20.633532+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,premarsx,If a man and woman have sexual relations before ma...,1,1,763,1,764,,1
2026-04-27T16:52:20.771324+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,gunlaw,Would you favor or oppose a law which would requir...,1,1,740,2,742,,1
2026-04-27T16:52:20.919730+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,eqwlth,Some people think that the government in Washingto...,1,4,883,1,884,,4
2026-04-27T16:52:20.943128+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,fepresch,Please read the following statement and indicate w...,1,3,761,2,763,,3
2026-04-27T16:52:20.993713+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,grass,Do you think the use of marijuana should be made l...,1,1,733,1,734,,1
2026-04-27T16:52:21.103647+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,immjobs,There are different opinions about immigrants from...,1,2,789,2,791,,2
2026-04-27T16:52:21.166240+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,immcrime,There are different opinions about immigrants from...,1,3,786,1,787,,3
2026-04-27T16:52:21.289994+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,fechld,To what extent do you you agree or disagree that: ...,1,2,762,2,764,,2
2026-04-27T16:52:21.302202+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,colath,There are always some people whose ideas are consi...,1,1,764,1,765,,1
2026-04-27T16:52:21.452644+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,spkrac,Consider a person who believes that Black people a...,1,2,760,1,761,,2
2026-04-27T16:52:21.452792+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,fefam,Please read the following statement and indicate w...,1,3,775,2,777,,3
2026-04-27T16:52:21.552395+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,spkath,There are always some people whose ideas are consi...,1,1,780,1,781,,1
2026-04-27T16:52:21.633304+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,colrac,Consider a person who believes that Black people a...,1,2,746,2,748,,2
2026-04-27T16:52:21.805019+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,spkmslm,Consider a Muslim clergyman who preaches hatred of...,1,2,759,2,761,,2
2026-04-27T16:52:21.977005+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,affrmact,Some people say that because of past discriminatio...,1,2,787,2,789,,2
2026-04-27T16:52:21.994428+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,bible,Which of these statements comes closest to describ...,1,2,861,1,862,,2
2026-04-27T16:52:22.005863+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,god,Tell me which statement comes closest to expressin...,1,4,918,1,919,,4
2026-04-27T16:52:22.077241+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,conpress,I am going to name some institutions in this count...,1,3,770,2,772,,3
2026-04-27T16:52:22.089358+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,immameco,There are different opinions about immigrants from...,1,4,786,2,788,,4
2026-04-27T16:52:22.112689+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,confed,I am going to name some institutions in this count...,1,1,774,2,776,,1
2026-04-27T16:52:22.388889+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,natheal,"We are faced with many problems in this country, n...",1,2,811,1,812,,2
2026-04-27T16:52:22.489580+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,colmslm,Consider a Muslim clergyman who preaches hatred of...,1,2,749,2,751,,2
2026-04-27T16:52:22.493141+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,nataid,"We are faced with many problems in this country, n...",1,2,803,2,805,,2
2026-04-27T16:52:22.495245+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,natsci,"We are faced with many problems in this country, n...",1,1,804,2,806,,1
2026-04-27T16:52:22.511449+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,consci,I am going to name some institutions in this count...,1,2,773,1,774,,2
2026-04-27T16:52:22.513284+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,nateduc,"We are faced with many problems in this country, n...",1,1,808,2,810,,1
2026-04-27T16:52:22.550690+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,natenvir,"We are faced with many problems in this country, n...",1,1,807,2,809,,1
2026-04-27T16:52:22.779234+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,natspac,"We are faced with many problems in this country, n...",1,2,816,2,818,,2
2026-04-27T16:52:22.830877+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,coneduc,I am going to name some institutions in this count...,1,2,771,1,772,,2
2026-04-27T16:52:22.857937+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,natsoc,"We are faced with many problems in this country, n...",1,1,805,1,806,,1
2026-04-27T16:52:23.066929+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,conarmy,I am going to name some institutions in this count...,1,2,769,2,771,,2
2026-04-27T16:52:23.234145+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,confinan,I am going to name some institutions in this count...,1,3,774,1,775,,3
2026-04-27T16:52:23.234164+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,natroad,"We are faced with many problems in this country, n...",1,2,807,1,808,,2
2026-04-27T16:52:23.238560+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,conlegis,I am going to name some institutions in this count...,1,2,769,2,771,,2
2026-04-27T16:52:23.246957+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,conbus,I am going to name some institutions in this count...,1,2,772,1,773,,2
2026-04-27T16:52:23.297414+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,conmedic,I am going to name some institutions in this count...,1,2,769,2,771,,2
2026-04-27T16:52:23.308193+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,1,1008,trust,"Generally speaking, would you say that most people...",1,2,747,2,749,,2
