timestamp,model,chain_model,prompt_mode,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-27T14:46:16.715682+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,premarsx,If a man and woman have sexual relations before ma...,1,1.0,223,1,224,,1
2026-04-27T14:46:16.717478+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,homosex,What is your opinion about sexual relations betwee...,1,3.0,227,1,228,,3
2026-04-27T14:46:16.718438+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,abpoor,Please tell me whether or not you think it should ...,1,2.0,210,1,211,,2
2026-04-27T14:46:16.751352+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,gunlaw,Would you favor or oppose a law which would requir...,1,2.0,200,2,202,,2
2026-04-27T14:46:16.761934+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,abhlth,Please tell me whether or not you think it should ...,1,1.0,206,2,208,,1
2026-04-27T14:46:16.840151+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,abdefect,Please tell me whether or not you think it should ...,1,1.0,206,2,208,,1
2026-04-27T14:46:17.258784+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,xmarsex,What is your opinion about a married person having...,1,1.0,226,2,228,,1
2026-04-27T14:46:17.289073+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,cappun,Do you favor or oppose the death penalty for perso...,1,1.0,188,2,190,,1
2026-04-27T14:46:17.289105+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,abrape,Please tell me whether or not you think it should ...,1,2.0,203,2,205,,2
2026-04-27T14:46:17.320892+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,fefam,Please read the following statement and indicate w...,1,3.0,237,1,238,,3
2026-04-27T14:46:17.325071+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,fepresch,Please read the following statement and indicate w...,1,3.0,221,2,223,,3
2026-04-27T14:46:17.610686+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,pornlaw,Which of these statements comes closest to your fe...,1,2.0,283,1,284,,2
2026-04-27T14:46:17.645299+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,grass,Do you think the use of marijuana should be made l...,1,2.0,193,1,194,,2
2026-04-27T14:46:17.678357+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,fechld,To what extent do you you agree or disagree that: ...,1,3.0,222,2,224,,3
2026-04-27T14:46:17.814920+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,affrmact,Some people say that because of past discriminatio...,1,1.0,247,2,249,,1
2026-04-27T14:46:17.905042+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,immameco,There are different opinions about immigrants from...,1,3.0,248,1,249,,3
2026-04-27T14:46:17.967154+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,immjobs,There are different opinions about immigrants from...,1,2.0,251,1,252,,2
2026-04-27T14:46:17.982871+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,eqwlth,Some people think that the government in Washingto...,1,5.0,343,1,344,,5
2026-04-27T14:46:18.007856+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,immcrime,There are different opinions about immigrants from...,1,3.0,244,2,246,,3
2026-04-27T14:46:18.338512+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,colmslm,Consider a Muslim clergyman who preaches hatred of...,1,2.0,209,2,211,,2
2026-04-27T14:46:18.343395+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,colath,There are always some people whose ideas are consi...,1,1.0,224,1,225,,1
2026-04-27T14:46:18.493075+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,god,Tell me which statement comes closest to expressin...,1,5.0,376,2,378,,5
2026-04-27T14:46:18.531711+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,spkrac,Consider a person who believes that Black people a...,1,2.0,220,1,221,,2
2026-04-27T14:46:18.604090+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,spkmslm,Consider a Muslim clergyman who preaches hatred of...,1,2.0,221,1,222,,2
2026-04-27T14:46:18.666785+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,spkath,There are always some people whose ideas are consi...,1,1.0,238,2,240,,1
2026-04-27T14:46:18.687629+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,bible,Which of these statements comes closest to describ...,1,2.0,319,2,321,,2
2026-04-27T14:46:18.820958+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,3,1008,conpress,I am going to name some institutions in this count...,1,2.0,230,2,232,,2
