timestamp,model,chain_model,prompt_mode,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-27T13:53:15.874415+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,homosex,What is your opinion about sexual relations betwee...,1,4.0,695,1,696,,4
2026-04-27T13:53:15.915362+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,abrape,Please tell me whether or not you think it should ...,1,1.0,673,1,674,,1
2026-04-27T13:53:15.931097+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,premarsx,If a man and woman have sexual relations before ma...,1,3.0,691,1,692,,3
2026-04-27T13:53:15.938439+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,abpoor,Please tell me whether or not you think it should ...,1,1.0,678,1,679,,1
2026-04-27T13:53:16.176142+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,xmarsex,What is your opinion about a married person having...,1,,696,2,698,Non-numeric answer: 3.,3.
2026-04-27T13:53:16.274075+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,gunlaw,Would you favor or oppose a law which would requir...,1,1.0,670,1,671,,1
2026-04-27T13:53:16.520002+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,pornlaw,Which of these statements comes closest to your fe...,1,2.0,751,1,752,,2
2026-04-27T13:53:16.520492+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,grass,Do you think the use of marijuana should be made l...,1,1.0,661,1,662,,1
2026-04-27T13:53:16.891082+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,eqwlth,Some people think that the government in Washingto...,1,4.0,811,1,812,,4
2026-04-27T13:53:16.979586+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,fechld,To what extent do you you agree or disagree that: ...,1,2.0,690,2,692,,2
2026-04-27T13:53:17.816147+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,immcrime,There are different opinions about immigrants from...,1,3.0,714,1,715,,3
2026-04-27T13:53:19.154644+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,abhlth,Please tell me whether or not you think it should ...,1,1.0,674,2,676,,1
2026-04-27T13:53:19.217569+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,immameco,There are different opinions about immigrants from...,1,2.0,714,2,716,,2
2026-04-27T13:53:19.458362+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,spkath,There are always some people whose ideas are consi...,1,1.0,708,1,709,,1
2026-04-27T13:53:19.866563+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,colath,There are always some people whose ideas are consi...,1,2.0,690,2,692,,2
2026-04-27T13:53:20.684606+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,spkrac,Consider a person who believes that Black people a...,1,2.0,686,2,688,,2
2026-04-27T13:53:21.722217+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,abdefect,Please tell me whether or not you think it should ...,1,1.0,674,2,676,,1
2026-04-27T13:53:21.890366+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,cappun,Do you favor or oppose the death penalty for perso...,1,2.0,658,1,659,,2
2026-04-27T13:53:22.045999+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,spkmslm,Consider a Muslim clergyman who preaches hatred of...,1,2.0,687,2,689,,2
2026-04-27T13:53:22.079521+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,colmslm,Consider a Muslim clergyman who preaches hatred of...,1,2.0,679,1,680,,2
2026-04-27T13:53:22.197478+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,fefam,Please read the following statement and indicate w...,1,3.0,705,1,706,,3
2026-04-27T13:53:22.345740+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,god,Tell me which statement comes closest to expressin...,1,4.0,846,1,847,,4
2026-04-27T13:53:22.584742+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,bible,Which of these statements comes closest to describ...,1,2.0,789,1,790,,2
2026-04-27T13:53:22.758708+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,affrmact,Some people say that because of past discriminatio...,1,2.0,717,1,718,,2
2026-04-27T13:53:22.950135+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,consci,I am going to name some institutions in this count...,1,2.0,701,1,702,,2
2026-04-27T13:53:22.998826+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,nataid,"We are faced with many problems in this country, n...",1,1.0,733,1,734,,1
2026-04-27T13:53:23.199255+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,conpress,I am going to name some institutions in this count...,1,2.0,698,2,700,,2
2026-04-27T13:53:23.232630+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,natsci,"We are faced with many problems in this country, n...",1,1.0,734,1,735,,1
2026-04-27T13:53:23.278636+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,fepresch,Please read the following statement and indicate w...,1,3.0,691,1,692,,3
2026-04-27T13:53:23.377743+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,natenvir,"We are faced with many problems in this country, n...",1,2.0,737,1,738,,2
2026-04-27T13:53:23.442264+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,nateduc,"We are faced with many problems in this country, n...",1,1.0,738,1,739,,1
2026-04-27T13:53:23.660323+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2,1008,coneduc,I am going to name some institutions in this count...,1,2.0,699,1,700,,2
