timestamp,model,chain_model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-21T13:44:00.463774+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,abhlth,Please tell me whether or not you think it should ...,1,1,261,1,262,,1
2026-04-21T13:44:00.497925+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,abpoor,Please tell me whether or not you think it should ...,1,2,263,1,264,,2
2026-04-21T13:44:00.539810+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,abrape,Please tell me whether or not you think it should ...,1,1,258,1,259,,1
2026-04-21T13:44:00.581282+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,premarsx,If a man and woman have sexual relations before ma...,1,3,276,1,277,,3
2026-04-21T13:44:00.634494+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,abdefect,Please tell me whether or not you think it should ...,1,2,261,1,262,,2
2026-04-21T13:44:00.711143+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,gunlaw,Would you favor or oppose a law which would requir...,1,1,255,1,256,,1
2026-04-21T13:44:00.801590+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,grass,Do you think the use of marijuana should be made l...,1,2,246,1,247,,2
2026-04-21T13:44:00.821812+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,cappun,Do you favor or oppose the death penalty for perso...,1,1,252,2,254,,1
2026-04-21T13:44:00.833033+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,homosex,What is your opinion about sexual relations betwee...,1,3,289,2,291,,3
2026-04-21T13:44:01.006124+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,fefam,Please read the following statement and indicate w...,1,3,290,1,291,,3
2026-04-21T13:44:01.203294+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,eqwlth,Some people think that the government in Washingto...,1,3,396,1,397,,3
2026-04-21T13:44:01.211060+00:00,mistralai/mistral-nemo,mistralai/mistral-nemo,2027,affrmact,Some people say that because of past discriminatio...,1,3,302,1,303,,3
