timestamp,model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-21T06:38:19.770687+00:00,Nemo v3,53,abdefect,Please tell me whether or not you think it should ...,1,1.0,193,1,194,,1
2026-04-21T06:38:19.844159+00:00,Nemo v3,53,abhlth,Please tell me whether or not you think it should ...,1,1.0,193,1,194,,1
2026-04-21T06:38:19.877383+00:00,Nemo v3,53,gunlaw,Would you favor or oppose a law which would requir...,1,1.0,187,1,188,,1
2026-04-21T06:38:19.994805+00:00,Nemo v3,53,premarsx,If a man and woman have sexual relations before ma...,1,1.0,217,2,219,,1
2026-04-21T06:38:20.060898+00:00,Nemo v3,53,homosex,What is your opinion about sexual relations betwee...,1,4.0,212,1,213,,4
2026-04-21T06:38:20.062405+00:00,Nemo v3,53,abrape,Please tell me whether or not you think it should ...,1,1.0,190,1,191,,1
2026-04-21T06:38:20.065291+00:00,Nemo v3,53,abpoor,Please tell me whether or not you think it should ...,1,1.0,195,1,196,,1
2026-04-21T06:38:20.098232+00:00,Nemo v3,53,cappun,Do you favor or oppose the death penalty for perso...,1,2.0,175,1,176,,2
2026-04-21T06:38:20.288965+00:00,Nemo v3,53,pornlaw,Which of these statements comes closest to your fe...,1,2.0,268,1,269,,2
2026-04-21T06:38:20.292728+00:00,Nemo v3,53,xmarsex,What is your opinion about a married person having...,1,2.0,213,1,214,,2
2026-04-21T06:38:20.650346+00:00,Nemo v3,53,affrmact,Some people say that because of past discriminatio...,1,2.0,234,1,235,,2
2026-04-21T06:38:20.828435+00:00,Nemo v3,53,fechld,To what extent do you you agree or disagree that: ...,1,2.0,209,1,210,,2
2026-04-21T06:38:20.837040+00:00,Nemo v3,53,fepresch,Please read the following statement and indicate w...,1,1.0,217,2,219,,1
2026-04-21T06:38:20.908852+00:00,Nemo v3,53,eqwlth,Some people think that the government in Washingto...,1,2.0,328,1,329,,2
2026-04-21T06:38:21.095519+00:00,Nemo v3,53,immjobs,There are different opinions about immigrants from...,1,2.0,236,1,237,,2
2026-04-21T06:38:21.096951+00:00,Nemo v3,53,immcrime,There are different opinions about immigrants from...,1,1.0,231,1,232,,1
2026-04-21T06:38:21.150842+00:00,Nemo v3,53,colath,There are always some people whose ideas are consi...,1,1.0,209,1,210,,1
2026-04-21T06:38:21.236429+00:00,Nemo v3,53,spkath,There are always some people whose ideas are consi...,1,2.0,225,1,226,,2
2026-04-21T06:38:21.460981+00:00,Nemo v3,53,colmslm,Consider a Muslim clergyman who preaches hatred of...,1,2.0,196,1,197,,2
2026-04-21T06:38:21.477413+00:00,Nemo v3,53,spkmslm,Consider a Muslim clergyman who preaches hatred of...,1,2.0,206,1,207,,2
2026-04-21T06:38:21.660007+00:00,Nemo v3,53,colrac,Consider a person who believes that Black people a...,1,2.0,193,1,194,,2
2026-04-21T06:38:21.668171+00:00,Nemo v3,53,spkrac,Consider a person who believes that Black people a...,1,2.0,205,1,206,,2
2026-04-21T06:38:21.758433+00:00,Nemo v3,53,god,Tell me which statement comes closest to expressin...,1,4.0,363,1,364,,4
2026-04-21T06:38:21.858136+00:00,Nemo v3,53,fefam,Please read the following statement and indicate w...,1,4.0,222,1,223,,4
2026-04-21T06:38:21.860040+00:00,Nemo v3,53,confed,I am going to name some institutions in this count...,1,2.0,221,1,222,,2
2026-04-21T06:38:21.860059+00:00,Nemo v3,53,grass,Do you think the use of marijuana should be made l...,1,1.0,178,1,179,,1
2026-04-21T06:38:21.984597+00:00,Nemo v3,53,consci,I am going to name some institutions in this count...,1,2.0,218,1,219,,2
2026-04-21T06:38:22.057380+00:00,Nemo v3,53,conpress,I am going to name some institutions in this count...,1,2.0,217,1,218,,2
2026-04-21T06:38:22.057393+00:00,Nemo v3,53,immameco,There are different opinions about immigrants from...,1,2.0,242,2,244,,2
2026-04-21T06:38:22.067578+00:00,Nemo v3,53,bible,Which of these statements comes closest to describ...,1,2.0,306,1,307,,2
2026-04-21T06:38:22.209906+00:00,Nemo v3,53,natenvir,"We are faced with many problems in this country, n...",1,1.0,254,1,255,,1
2026-04-21T06:38:22.258445+00:00,Nemo v3,53,natsci,"We are faced with many problems in this country, n...",1,1.0,251,1,252,,1
2026-04-21T06:38:22.294328+00:00,Nemo v3,53,nataid,"We are faced with many problems in this country, n...",1,2.0,250,1,251,,2
2026-04-21T06:38:22.356227+00:00,Nemo v3,53,nateduc,"We are faced with many problems in this country, n...",1,1.0,255,1,256,,1
2026-04-21T06:38:22.565619+00:00,Nemo v3,53,natsoc,"We are faced with many problems in this country, n...",1,1.0,250,1,251,,1
2026-04-21T06:38:22.580716+00:00,Nemo v3,53,natspac,"We are faced with many problems in this country, n...",1,2.0,252,1,253,,2
2026-04-21T06:38:22.621472+00:00,Nemo v3,53,natheal,"We are faced with many problems in this country, n...",1,1.0,256,1,257,,1
2026-04-21T06:38:22.654257+00:00,Nemo v3,53,conbus,I am going to name some institutions in this count...,1,1.0,217,1,218,,1
2026-04-21T06:38:22.683353+00:00,Nemo v3,53,conlegis,I am going to name some institutions in this count...,1,2.0,216,1,217,,2
2026-04-21T06:38:22.706972+00:00,Nemo v3,53,natroad,"We are faced with many problems in this country, n...",1,2.0,252,1,253,,2
2026-04-21T06:38:22.902169+00:00,Nemo v3,53,conarmy,I am going to name some institutions in this count...,1,2.0,216,1,217,,2
2026-04-21T06:38:22.904872+00:00,Nemo v3,53,trust,"Generally speaking, would you say that most people...",1,1.0,194,1,195,,1
2026-04-21T06:38:22.958124+00:00,Nemo v3,53,helpful,Would you say that most of the time people try to ...,1,1.0,195,1,196,,1
2026-04-21T06:38:22.971152+00:00,Nemo v3,53,fair,Do you think most people would try to take advanta...,1,2.0,198,1,199,,2
2026-04-21T06:38:23.024896+00:00,Nemo v3,53,satfin,We are interested in how people are getting along ...,1,2.0,220,1,221,,2
2026-04-21T06:38:23.196403+00:00,Nemo v3,53,finalter,"During the last few years, has your financial situ...",1,2.0,191,1,192,,2
2026-04-21T06:38:23.198770+00:00,Nemo v3,53,conmedic,I am going to name some institutions in this count...,1,2.0,216,1,217,,2
2026-04-21T06:38:23.204193+00:00,Nemo v3,53,richwork,If you were to get enough money to live as comfort...,1,1.0,195,1,196,,1
2026-04-21T06:38:23.230486+00:00,Nemo v3,53,confinan,I am going to name some institutions in this count...,1,1.0,219,1,220,,1
2026-04-21T06:38:23.341671+00:00,Nemo v3,53,satjob,"On the whole, how satisfied are you with the work ...",1,1.0,210,1,211,,1
2026-04-21T06:38:23.479716+00:00,Nemo v3,681,abpoor,Please tell me whether or not you think it should ...,1,1.0,192,1,193,,1
2026-04-21T06:38:23.493661+00:00,Nemo v3,681,abdefect,Please tell me whether or not you think it should ...,1,1.0,190,1,191,,1
2026-04-21T06:38:23.961426+00:00,Nemo v3,681,premarsx,If a man and woman have sexual relations before ma...,1,2.0,205,1,206,,2
2026-04-21T06:38:24.026010+00:00,Nemo v3,681,homosex,What is your opinion about sexual relations betwee...,1,4.0,209,1,210,,4
2026-04-21T06:38:25.004788+00:00,Nemo v3,681,xmarsex,What is your opinion about a married person having...,1,1.0,210,1,211,,1
2026-04-21T06:38:25.277355+00:00,Nemo v3,681,grass,Do you think the use of marijuana should be made l...,1,1.0,175,1,176,,1
2026-04-21T06:38:25.630294+00:00,Nemo v3,681,fechld,To what extent do you you agree or disagree that: ...,1,1.0,206,1,207,,1
2026-04-21T06:38:25.936430+00:00,Nemo v3,681,fefam,Please read the following statement and indicate w...,1,4.0,219,1,220,,4
2026-04-21T06:38:26.207441+00:00,Nemo v3,681,abrape,Please tell me whether or not you think it should ...,1,1.0,196,2,198,,1
2026-04-21T06:38:26.210956+00:00,Nemo v3,681,cappun,Do you favor or oppose the death penalty for perso...,1,1.0,181,2,183,,1
2026-04-21T06:38:26.214345+00:00,Nemo v3,53,getahead,Some people say that people get ahead by their own...,1,1.0,217,2,219,,1
2026-04-21T06:38:26.216416+00:00,Nemo v3,53,coneduc,I am going to name some institutions in this count...,1,2.0,225,2,227,,2
2026-04-21T06:38:26.254827+00:00,Nemo v3,681,abhlth,Please tell me whether or not you think it should ...,1,1.0,199,2,201,,1
2026-04-21T06:38:26.258509+00:00,Nemo v3,681,gunlaw,Would you favor or oppose a law which would requir...,1,1.0,193,2,195,,1
2026-04-21T06:38:26.651987+00:00,Nemo v3,681,pornlaw,Which of these statements comes closest to your fe...,1,3.0,274,2,276,,3
2026-04-21T06:38:26.669001+00:00,Nemo v3,681,eqwlth,Some people think that the government in Washingto...,1,1.0,325,1,326,,1
2026-04-21T06:38:26.673989+00:00,Nemo v3,681,immcrime,There are different opinions about immigrants from...,1,3.0,228,1,229,,3
2026-04-21T06:38:26.689820+00:00,Nemo v3,681,affrmact,Some people say that because of past discriminatio...,1,3.0,231,1,232,,3
2026-04-21T06:38:26.775161+00:00,Nemo v3,681,fepresch,Please read the following statement and indicate w...,1,3.0,214,2,216,,3
2026-04-21T06:38:27.107622+00:00,Nemo v3,681,spkrac,Consider a person who believes that Black people a...,1,2.0,202,1,203,,2
2026-04-21T06:38:27.233264+00:00,Nemo v3,681,immameco,There are different opinions about immigrants from...,1,1.0,239,2,241,,1
2026-04-21T06:38:27.248353+00:00,Nemo v3,681,immjobs,There are different opinions about immigrants from...,1,3.0,242,2,244,,3
2026-04-21T06:38:27.377058+00:00,Nemo v3,681,colath,There are always some people whose ideas are consi...,1,1.0,206,1,207,,1
2026-04-21T06:38:27.377435+00:00,Nemo v3,681,spkath,There are always some people whose ideas are consi...,1,2.0,231,2,233,,2
2026-04-21T06:38:27.379133+00:00,Nemo v3,681,colrac,Consider a person who believes that Black people a...,1,2.0,190,1,191,,2
2026-04-21T06:38:27.392014+00:00,Nemo v3,681,god,Tell me which statement comes closest to expressin...,1,3.0,360,1,361,,3
2026-04-21T06:38:27.466261+00:00,Nemo v3,681,spkmslm,Consider a Muslim clergyman who preaches hatred of...,1,2.0,212,2,214,,2
2026-04-21T06:38:27.521049+00:00,Nemo v3,681,confed,I am going to name some institutions in this count...,1,2.0,218,1,219,,2
2026-04-21T06:38:27.537714+00:00,Nemo v3,681,bible,Which of these statements comes closest to describ...,1,2.0,303,1,304,,2
2026-04-21T06:38:27.629286+00:00,Nemo v3,681,colmslm,Consider a Muslim clergyman who preaches hatred of...,1,2.0,191,2,193,,2
2026-04-21T06:38:27.662063+00:00,Nemo v3,681,nataid,"We are faced with many problems in this country, n...",1,1.0,247,1,248,,1
2026-04-21T06:38:27.663383+00:00,Nemo v3,681,consci,I am going to name some institutions in this count...,1,1.0,215,1,216,,1
2026-04-21T06:38:27.685367+00:00,Nemo v3,681,natspac,"We are faced with many problems in this country, n...",1,1.0,249,1,250,,1
2026-04-21T06:38:27.715558+00:00,Nemo v3,681,natsci,"We are faced with many problems in this country, n...",1,1.0,248,1,249,,1
2026-04-21T06:38:27.949810+00:00,Nemo v3,681,natenvir,"We are faced with many problems in this country, n...",1,2.0,251,1,252,,2
2026-04-21T06:38:28.151854+00:00,Nemo v3,681,conpress,I am going to name some institutions in this count...,1,2.0,223,2,225,,2
2026-04-21T06:38:28.151905+00:00,Nemo v3,681,conbus,I am going to name some institutions in this count...,1,2.0,214,1,215,,2
2026-04-21T06:38:28.228458+00:00,Nemo v3,681,nateduc,"We are faced with many problems in this country, n...",1,1.0,261,2,263,,1
2026-04-21T06:38:28.293193+00:00,Nemo v3,681,natheal,"We are faced with many problems in this country, n...",1,1.0,253,1,254,,1
2026-04-21T06:38:28.327600+00:00,Nemo v3,681,coneduc,I am going to name some institutions in this count...,1,1.0,213,1,214,,1
2026-04-21T06:38:28.333046+00:00,Nemo v3,681,natroad,"We are faced with many problems in this country, n...",1,3.0,258,2,260,,3
2026-04-21T06:38:28.455413+00:00,Nemo v3,681,natsoc,"We are faced with many problems in this country, n...",1,1.0,256,2,258,,1
