timestamp,model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-20T23:14:53.647791+00:00,Nemo 2,53,abpoor,Please tell me whether or not you think it should ...,1,1.0,184,1,185,,1
2026-04-20T23:14:53.675964+00:00,Nemo 2,53,abrape,Please tell me whether or not you think it should ...,1,1.0,179,1,180,,1
2026-04-20T23:14:53.679907+00:00,Nemo 2,53,gunlaw,Would you favor or oppose a law which would requir...,1,1.0,176,1,177,,1
2026-04-20T23:14:53.983913+00:00,Nemo 2,53,homosex,What is your opinion about sexual relations betwee...,1,4.0,201,1,202,,4
2026-04-20T23:14:54.031384+00:00,Nemo 2,53,xmarsex,What is your opinion about a married person having...,1,3.0,202,1,203,,3
2026-04-20T23:14:54.131733+00:00,Nemo 2,53,pornlaw,Which of these statements comes closest to your fe...,1,2.0,257,1,258,,2
2026-04-20T23:14:54.133263+00:00,Nemo 2,53,premarsx,If a man and woman have sexual relations before ma...,1,3.0,197,1,198,,3
2026-04-20T23:14:54.560971+00:00,Nemo 2,53,abdefect,Please tell me whether or not you think it should ...,1,1.0,191,2,193,,1
2026-04-20T23:14:54.566665+00:00,Nemo 2,53,cappun,Do you favor or oppose the death penalty for perso...,1,2.0,173,2,175,,2
2026-04-20T23:14:54.579611+00:00,Nemo 2,53,fefam,Please read the following statement and indicate w...,1,3.0,211,1,212,,3
2026-04-20T23:14:54.601248+00:00,Nemo 2,53,fechld,To what extent do you you agree or disagree that: ...,1,2.0,198,1,199,,2
2026-04-20T23:14:54.621857+00:00,Nemo 2,53,abhlth,Please tell me whether or not you think it should ...,1,1.0,191,2,193,,1
2026-04-20T23:14:55.612463+00:00,Nemo 2,53,immameco,There are different opinions about immigrants from...,1,3.0,222,1,223,,3
2026-04-20T23:14:55.613287+00:00,Nemo 2,53,spkath,There are always some people whose ideas are consi...,1,1.0,214,1,215,,1
