timestamp,model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-22T17:23:58.414339+00:00,mistralai/mistral-nemo,24,premarsx,If a man and woman have sexual relations before ma...,1,2.0,190,1,191,,2
2026-04-22T17:23:58.420349+00:00,mistralai/mistral-nemo,24,abdefect,Please tell me whether or not you think it should ...,1,2.0,175,1,176,,2
2026-04-22T17:23:58.425588+00:00,mistralai/mistral-nemo,24,abpoor,Please tell me whether or not you think it should ...,1,2.0,177,1,178,,2
2026-04-22T17:23:58.636622+00:00,mistralai/mistral-nemo,24,cappun,Do you favor or oppose the death penalty for perso...,1,1.0,157,1,158,,1
2026-04-22T17:23:58.710197+00:00,mistralai/mistral-nemo,24,gunlaw,Would you favor or oppose a law which would requir...,1,2.0,169,1,170,,2
2026-04-22T17:23:58.792780+00:00,mistralai/mistral-nemo,24,pornlaw,Which of these statements comes closest to your fe...,1,1.0,250,1,251,,1
2026-04-22T17:23:58.813872+00:00,mistralai/mistral-nemo,24,grass,Do you think the use of marijuana should be made l...,1,2.0,160,1,161,,2
2026-04-22T17:23:58.898992+00:00,mistralai/mistral-nemo,24,homosex,What is your opinion about sexual relations betwee...,1,1.0,192,2,194,,1
2026-04-22T17:23:59.131807+00:00,mistralai/mistral-nemo,24,fefam,Please read the following statement and indicate w...,1,1.0,204,1,205,,1
2026-04-22T17:23:59.311989+00:00,mistralai/mistral-nemo,24,xmarsex,What is your opinion about a married person having...,1,1.0,195,1,196,,1
2026-04-22T17:23:59.325184+00:00,mistralai/mistral-nemo,24,fepresch,Please read the following statement and indicate w...,1,1.0,190,1,191,,1
2026-04-22T17:23:59.426954+00:00,mistralai/mistral-nemo,24,affrmact,Some people say that because of past discriminatio...,1,4.0,216,1,217,,4
2026-04-22T17:23:59.435964+00:00,mistralai/mistral-nemo,24,fechld,To what extent do you you agree or disagree that: ...,1,1.0,200,2,202,,1
2026-04-22T17:23:59.454603+00:00,mistralai/mistral-nemo,24,abrape,Please tell me whether or not you think it should ...,1,,181,4,185,Could not parse answer: Option 2,Option 2
2026-04-22T17:23:59.477595+00:00,mistralai/mistral-nemo,24,eqwlth,Some people think that the government in Washingto...,1,6.0,310,1,311,,6
2026-04-22T17:23:59.644858+00:00,mistralai/mistral-nemo,24,abhlth,Please tell me whether or not you think it should ...,1,2.0,184,2,186,,2
2026-04-22T17:23:59.807361+00:00,mistralai/mistral-nemo,24,immjobs,There are different opinions about immigrants from...,1,2.0,218,1,219,,2
2026-04-22T17:23:59.814252+00:00,mistralai/mistral-nemo,24,spkrac,Consider a person who believes that Black people a...,1,2.0,187,1,188,,2
2026-04-22T17:23:59.820916+00:00,mistralai/mistral-nemo,24,colath,There are always some people whose ideas are consi...,1,2.0,191,1,192,,2
2026-04-22T17:23:59.878975+00:00,mistralai/mistral-nemo,24,immameco,There are different opinions about immigrants from...,1,4.0,215,1,216,,4
2026-04-22T17:23:59.889523+00:00,mistralai/mistral-nemo,24,colrac,Consider a person who believes that Black people a...,1,2.0,175,1,176,,2
2026-04-22T17:23:59.899736+00:00,mistralai/mistral-nemo,24,immcrime,There are different opinions about immigrants from...,1,1.0,213,1,214,,1
2026-04-22T17:24:00.216811+00:00,mistralai/mistral-nemo,24,colmslm,Consider a Muslim clergyman who preaches hatred of...,1,2.0,178,1,179,,2
2026-04-22T17:24:00.221220+00:00,mistralai/mistral-nemo,24,god,Tell me which statement comes closest to expressin...,1,5.0,345,1,346,,5
2026-04-22T17:24:00.224813+00:00,mistralai/mistral-nemo,24,bible,Which of these statements comes closest to describ...,1,2.0,288,1,289,,2
2026-04-22T17:24:00.239926+00:00,mistralai/mistral-nemo,24,conpress,I am going to name some institutions in this count...,1,3.0,199,1,200,,3
2026-04-22T17:24:00.244211+00:00,mistralai/mistral-nemo,24,consci,I am going to name some institutions in this count...,1,1.0,200,1,201,,1
2026-04-22T17:24:00.414512+00:00,mistralai/mistral-nemo,24,spkmslm,Consider a Muslim clergyman who preaches hatred of...,1,2.0,188,1,189,,2
2026-04-22T17:24:00.490012+00:00,mistralai/mistral-nemo,24,spkath,There are always some people whose ideas are consi...,1,2.0,216,2,218,,2
2026-04-22T17:24:00.833515+00:00,mistralai/mistral-nemo,24,confed,I am going to name some institutions in this count...,1,2.0,203,1,204,,2
2026-04-22T17:24:00.996702+00:00,mistralai/mistral-nemo,24,natenvir,"We are faced with many problems in this country, n...",1,3.0,236,1,237,,3
2026-04-22T17:24:01.127353+00:00,mistralai/mistral-nemo,24,natroad,"We are faced with many problems in this country, n...",1,2.0,234,1,235,,2
2026-04-22T17:24:01.149973+00:00,mistralai/mistral-nemo,24,natsci,"We are faced with many problems in this country, n...",1,2.0,233,1,234,,2
2026-04-22T17:24:01.173304+00:00,mistralai/mistral-nemo,24,nateduc,"We are faced with many problems in this country, n...",1,1.0,237,1,238,,1
2026-04-22T17:24:01.392316+00:00,mistralai/mistral-nemo,24,coneduc,I am going to name some institutions in this count...,1,2.0,198,1,199,,2
2026-04-22T17:24:01.451609+00:00,mistralai/mistral-nemo,24,conlegis,I am going to name some institutions in this count...,1,1.0,198,1,199,,1
2026-04-22T17:24:01.668617+00:00,mistralai/mistral-nemo,24,conbus,I am going to name some institutions in this count...,1,3.0,199,1,200,,3
2026-04-22T17:24:01.972797+00:00,mistralai/mistral-nemo,24,natheal,"We are faced with many problems in this country, n...",1,1.0,247,2,249,,1
2026-04-22T17:24:01.980395+00:00,mistralai/mistral-nemo,24,natsoc,"We are faced with many problems in this country, n...",1,1.0,241,2,243,,1
2026-04-22T17:24:01.981517+00:00,mistralai/mistral-nemo,24,nataid,"We are faced with many problems in this country, n...",1,1.0,241,2,243,,1
2026-04-22T17:24:01.987587+00:00,mistralai/mistral-nemo,24,natspac,"We are faced with many problems in this country, n...",1,2.0,243,2,245,,2
